default,gender,salary
0,male,40339.5090631084
0,male,36931.15076115743
1,female,29140.19456831037
0,male,42869.13629075626
0,male,37183.51536896277
0,female,6884.702663642134
1,female,31860.7057086328
0,male,37952.55584236837
1,female,7091.290869407403
0,female,6301.98287488485
1,female,17149.73613078951
1,male,27221.377159655
0,female,9112.51643043395
0,female,39287.60855867875
1,male,25180.701445147577
1,female,12635.60360390769
0,male,38987.979366529355
0,female,47087.039086641074
1,female,9561.65346148753
0,male,35800.30417497965
0,female,27373.4393245717
0,male,62079.70808845165
0,male,56382.05488612609
0,female,23480.330966482008
1,female,28581.82012752301
0,male,38890.820295080935
1,male,21258.908630458205
0,female,11658.686027372021
0,male,38295.14268551448
1,female,30142.94046444263
1,female,16384.57222563578
1,female,20392.216690834288
1,female,20611.82757147788
0,male,48861.159583039494
0,male,38270.161486080164
0,female,24307.907295665565
0,female,18607.80774202049
1,male,33754.009574293385
1,male,30780.44404724725
0,male,44723.230159085055
0,male,47406.51826087227
1,male,34384.761497523636
0,female,9973.212771122673
1,female,2664.9296922488866
0,female,28410.807005210227
0,male,36364.62853709527
0,male,48569.07011889038
1,male,14836.603453931559
0,male,37580.96844891074
1,male,34406.120839427786
0,female,-7179.109221824183
0,female,19360.480338058456
0,male,36733.626884607154
1,female,13093.55879415448
0,male,42393.84333606296
1,male,33430.89922510314
0,male,52157.25153788519
1,female,21542.98503492939
1,male,32660.496321053426
0,male,44390.08868782343
1,male,32197.16437517632
0,female,20553.38776569744
0,female,39795.56166716499
1,male,18482.398734841972
1,male,26894.29216983854
0,female,1880.7309054609796
1,female,25807.840497549732
1,male,32969.491836237
0,female,13437.85714370305
1,female,19863.80692712902
1,female,26838.93010986086
1,female,-1885.5532394961083
0,male,44087.691799256965
1,female,17791.348666207152
0,female,17894.292754286824
1,female,12321.981849966545
1,female,10457.15522401602
1,male,31266.254787798047
0,male,52241.59106436887
1,female,19394.80192729581
1,female,31901.358124369508
0,female,25208.585828265608
0,male,44608.03292193421
1,female,26879.24427325597
0,female,20591.838553714842
1,male,32095.941890284328
1,male,29138.191038225013
0,female,21865.800867387636
0,male,46825.235684750514
1,male,33917.34746156627
0,female,11557.836665454302
1,female,25745.135884802152
1,female,16883.884639174965
1,male,24731.14146907987
1,female,23927.77393854939
0,male,45544.00400915758
1,female,19684.67090396947
0,female,18747.389158641283
0,female,12462.527812756955
0,male,38366.017525355506
0,male,38401.13413471049
0,male,37218.690332834754
1,female,-2273.238842879342
1,male,27873.74210731594
1,female,14093.423013011943
0,female,22159.324181378382
1,female,15790.558453091564
1,female,12594.483132137519
1,male,26537.24284457993
0,female,12697.298938227737
0,female,10581.690884494681
1,female,1684.8208708035381
0,female,12100.440249163814
0,male,39327.327556640004
1,female,14325.132858114019
0,male,54985.528750879166
1,female,7860.272287797523
1,female,26512.056386054825
0,female,30482.21900567322
1,female,25356.51921423505
0,male,39956.14564468819
1,female,26059.91838926338
0,male,35480.259967893406
0,female,30491.910083661867
1,female,24134.860988355584
0,female,26057.191349409575
1,male,28258.39784210552
0,female,14288.730876943668
1,female,25784.660888480885
1,male,25262.72122730531
1,female,25745.981122308942
0,male,48610.85425204066
0,female,33603.37051868805
0,male,41183.21296030043
0,female,23697.539345631172
1,male,33632.73185281017
0,female,36151.93092657678
0,male,36432.72446097165
1,male,28750.511084894642
0,male,47462.09174021192
0,male,48935.64234703422
0,male,64233.66736218135
1,male,33377.76656543454
1,male,34812.7282101454
0,female,13043.836493479292
1,male,34646.66427670733
0,male,36681.138753604544
1,female,24659.634904222916
0,female,24450.901601582675
1,male,26999.02241560202
0,male,43475.178492120234
0,male,42616.11050842159
1,male,31000.49587413527
0,female,28122.624564282192
0,male,40794.111284458944
0,female,22636.882518126105
0,female,34577.3498194473
1,male,30390.588460342522
0,female,22184.633833183914
1,female,7618.820235694826
1,female,25331.384424790464
1,female,29193.237832676117
0,male,36400.20583487331
1,male,29363.47534429394
1,female,20857.18530550616
0,female,30262.28763545915
1,female,28745.20309004079
0,female,34497.284572856704
1,female,20788.563314657844
0,male,38105.46532671324
0,male,40124.784214171996
0,male,53659.76367960449
1,female,26939.41208552072
0,female,22626.448398538705
1,male,26450.229074703457
0,male,40438.85763498916
0,female,14250.781405784883
0,male,37886.65756877479
1,male,23162.478607675323
0,male,40445.882978337555
0,female,26651.061753378992
1,male,31233.319505545507
1,female,18185.44252878618
0,male,48523.0970460823
1,female,29773.923051515078
1,male,27579.45729541023
1,male,28614.582546392787
1,male,19449.16058147472
1,female,17965.675468641173
1,female,14647.930627934218
1,male,17760.855647642988
0,female,16237.900370101994
1,male,34321.47960067166
0,female,23716.10994144815
1,female,6038.129551932119
0,female,27077.918379789495
0,female,21062.598041973877
1,male,34319.14807404309
0,female,22568.135292681192
1,female,-186.69847749273322
1,female,25149.223600320707
1,female,8911.645983594917
1,male,25197.574722602265
1,male,9130.713526712803
1,female,27269.17026409493
1,female,15237.162759501742
0,female,16962.336713187175
1,female,19483.69679819452
1,female,33895.02406587072
1,female,13633.86989515202
0,male,37756.28025106585
0,male,42730.934421844155
1,female,31234.517577700604
1,female,12833.46825248768
0,female,13327.542111219216
0,male,39866.27727535553
0,male,68856.59358410026
0,male,40781.2684230747
0,female,16224.23093424188
0,female,11822.922511481185
0,female,34112.77077614436
0,female,20694.917771699642
1,male,29022.689156999037
1,female,30562.969911656117
0,male,42399.64450050897
1,female,9796.507166216627
1,female,31764.474709474234
1,male,20720.385202353944
1,male,34460.66018695392
1,male,32587.507940197804
0,male,40383.546670193384
1,male,28397.458377139345
0,male,47171.09445093378
1,male,27683.35008399145
0,female,41053.049370682784
0,female,8168.046589739182
0,male,46622.941031547976
0,female,22841.3501389296
0,male,38643.177133677695
0,male,35797.313976340665
0,female,21592.59396931039
1,female,18740.824205172146
1,female,20453.216680666745
1,male,28138.80191307516
0,female,17009.262597825535
0,female,29433.439149433027
1,female,28384.293431930568
1,female,16231.890860492178
1,male,19065.65779232241
1,female,26559.32093217549
